Abr,Course,Section,Title,Quarter,Year,Day and Time,Instructor,E1,S1,P1,E2,S2,P2,E1(N),S1(N),P1(N),E2(N),S2(N),P2(New),E3,S3,P3,E4,S4,P4
rin2017 30000,30000,81,Financial Accounting,Spring,2017,"Tuesday, 6:00 -  9:00","Ball, Ray",29,36,0,28,37,0,53,12,0,54,11,0,65,CLO,200,65,CLO,1000
tum2016 30000,30000,5,Financial Accounting,Autumn,2016,"Tuesday, 1:30 -  4:30","Barrios, John",0,65,0,0,65,-1,36,29,0,65,CLO,0,65,CLO,0,61,4,0
tum2016 30000,30000,6,Financial Accounting,Autumn,2016,"Wednesday, 8:30 - 11:30","Barrios, John",0,65,0,2,63,0,49,16,0,55,10,0,51,14,0,51,14,0
tum2016 30000,30000,7,Financial Accounting,Autumn,2016,"Wednesday, 1:30 -  4:30","Barrios, John",0,65,0,0,65,-1,20,45,0,42,23,0,52,13,0,48,17,-1
nte2018 30000,30000,81,Financial Accounting,Winter,2018,"Tuesday, 6:00 -  9:00","Barrios, John",19,46,0,16,49,-1,35,30,0,33,32,0,65,CLO,1,65,CLO,4389
nte2019 30000,30000,1,Financial Accounting,Winter,2019,"Wednesday, 8:30 - 11:30","Barrios, John",65,CLO,1,65,CLO,101,65,CLO,-1,65,CLO,-1,63,2,0,65,CLO,0
nte2018 30000,30000,1,Financial Accounting,Winter,2018,"Friday, 1:30 -  4:30","Bonham, Jonathan",44,21,0,50,15,0,50,15,-1,50,15,-1,29,36,0,26,39,0
nte2018 30000,30000,85,Financial Accounting,Winter,2018,"Saturday, 1:30 -  4:30","Bonham, Jonathan",20,45,0,23,42,0,23,42,-1,23,42,-1,21,44,-1,22,43,0
tum2018 30000,30000,3,Financial Accounting,Autumn,2018,"Wednesday, 8:30 - 11:30","Bonham, Jonathan",8,57,0,13,52,0,65,CLO,712,65,CLO,2967,65,CLO,0,65,CLO,-1
tum2018 30000,30000,4,Financial Accounting,Autumn,2018,"Wednesday, 1:30 -  4:30","Bonham, Jonathan",9,56,0,8,57,-1,65,CLO,1020,65,CLO,3213,65,CLO,3113,65,CLO,-1
tum2018 30000,30000,81,Financial Accounting,Autumn,2018,"Wednesday, 6:00 -  9:00","Bonham, Jonathan",7,58,0,7,58,-1,36,29,0,30,35,0,43,22,0,46,19,0
tum2016 30000,30000,8,Financial Accounting,Autumn,2016,"Monday, 1:30 -  4:30","Gao, Pingyang",0,65,0,0,65,-1,24,41,0,50,15,0,59,6,0,55,10,-1
tum2016 30000,30000,81,Financial Accounting,Autumn,2016,"Monday, 6:00 -  9:00","Gao, Pingyang",4,61,0,5,60,0,15,50,0,18,47,0,23,42,0,27,38,0
tum2017 30000,30000,3,Financial Accounting,Autumn,2017,"Monday, 8:30 - 11:30","Gao, Pingyang",2,63,0,2,63,-1,50,15,0,57,8,0,55,10,0,57,8,0
tum2017 30000,30000,4,Financial Accounting,Autumn,2017,"Monday, 1:30 -  4:30","Gao, Pingyang",6,59,0,7,58,0,29,36,0,52,13,0,55,10,0,64,1,0
tum2017 30000,30000,85,Financial Accounting,Autumn,2017,"Saturday, 1:30 -  4:30","Gao, Pingyang",7,58,0,6,59,-1,29,36,0,31,34,0,33,32,0,40,25,0
nte2019 30000,30000,81,Financial Accounting,Winter,2019,"Friday, 6:00 -  9:00","Gao, Pingyang",15,50,0,13,52,0,20,45,0,19,46,0,18,47,0,32,33,0
nte2019 30000,30000,85,Financial Accounting,Winter,2019,"Saturday, 9:00 - 12:00","Gao, Pingyang",4,61,0,3,62,0,3,62,-1,3,62,-1,10,55,0,16,49,-1
nte2019 30000,30000,86,Financial Accounting,Winter,2019,"Saturday, 1:30 -  4:30","Gao, Pingyang",7,58,0,3,62,-1,3,62,-1,3,62,-1,9,56,0,22,43,-1
nte2020 30000,30000,82,Financial Accounting,Winter,2020,"Thursday, 6:00 -  9:00","Gao, Pingyang",18,47,0,14,51,N/A,20,45,0,16,49,N/A,21,44,0,,,
nte2020 30000,30000,83,Financial Accounting,Winter,2020,"Friday, 6:00 -  9:00","Gao, Pingyang",12,53,0,11,54,0,13,52,0,12,53,N/A,11,54,0,,,
nte2020 30000,30000,85,Financial Accounting,Winter,2020,"Saturday, 1:30 -  4:30","Gao, Pingyang",13,52,0,14,51,0,14,51,N/A,14,51,N/A,15,50,0,,,
nte2017 30000,30000,1,Financial Accounting,Winter,2017,"Tuesday, 8:30 - 11:30","Granja, Joao",65,CLO,1,65,CLO,1000,65,CLO,-1,65,CLO,-1,65,CLO,1001,65,CLO,1000
nte2017 30000,30000,81,Financial Accounting,Winter,2017,"Tuesday, 6:00 -  9:00","Granja, Joao",31,34,0,28,37,-1,48,17,0,44,21,-1,43,22,0,46,19,0
tum2017 30000,30000,5,Financial Accounting,Autumn,2017,"Friday, 8:30 - 11:30","Granja, Joao",2,63,0,2,63,-1,20,45,0,20,45,0,17,48,0,17,48,-1
tum2017 30000,30000,6,Financial Accounting,Autumn,2017,"Friday, 1:30 -  4:30","Granja, Joao",2,63,0,2,63,-1,16,49,0,20,45,0,26,39,0,25,40,0
tum2017 30000,30000,86,Financial Accounting,Autumn,2017,"Saturday, 9:00 - 12:00","Granja, Joao",20,45,0,20,45,0,65,CLO,28,65,CLO,1000,65,CLO,-1,65,CLO,402
tum2018 30000,30000,1,Financial Accounting,Autumn,2018,"Friday, 8:30 - 11:30","Granja, Joao",2,63,0,2,63,-1,22,43,0,20,45,0,19,46,0,18,47,-1
