Course,Title,Type,longcode
30000, Financial Accounting,Foundation,30000 - Financial Accounting
30116, Accounting and Financial Analysis,Foundation,30116 - Accounting and Financial Analysis
30120," Accounting, Economic, and Regulatory Issues in Complex Deals",Foundation,"30120 - Accounting, Economic, and Regulatory Issues in Complex Deals"
30122, Deal Structuring and Financial Reporting Implications,Foundation,30122 - Deal Structuring and Financial Reporting Implications
30130, Financial Statement Analysis,Foundation,30130 - Financial Statement Analysis
30131, Advanced Financial Analysis and Valuation for Global Firms,Foundation,30131 - Advanced Financial Analysis and Valuation for Global Firms
33001, Microeconomics,Foundation,33001 - Microeconomics
33002, Accelerated Microeconomics,Foundation,33002 - Accelerated Microeconomics
33101, Advanced Microeconomic Analysis,Foundation,33101 - Advanced Microeconomic Analysis
41000, Business Statistics,Foundation,41000 - Business Statistics
41100, Applied Regression Analysis,Foundation,41100 - Applied Regression Analysis
41201, Big Data,Foundation,41201 - Big Data
41202, Analysis of Financial Time Series,Foundation,41202 - Analysis of Financial Time Series
41203, Financial Econometrics,Foundation,41203 - Financial Econometrics
41204, Machine Learning,Foundation,41204 - Machine Learning
41301," Statistical Insight into Marketing, Consulting, and Entrepreneurship",Foundation,"41301 - Statistical Insight into Marketing, Consulting, and Entrepreneurship"
41901, Probability and Statistics,Foundation,41901 - Probability and Statistics
41902, Statistical Inference,Foundation,41902 - Statistical Inference
41903, Applied Econometrics,Foundation,41903 - Applied Econometrics
41910, Time-series Analysis for Forecasting and Model Building,Foundation,41910 - Time-series Analysis for Forecasting and Model Building
41911, Advanced Econometrics,Foundation,41911 - Advanced Econometrics
41912, Applied Multivariate Analysis,Foundation,41912 - Applied Multivariate Analysis
41913, Bayesian Inference,Foundation,41913 - Bayesian Inference
41914, Multivariate Time Series Analysis,Foundation,41914 - Multivariate Time Series Analysis
34101, Entrepreneurial Finance and Private Equity,Finance,34101 - Entrepreneurial Finance and Private Equity
34901, Asset Pricing I,Finance,34901 - Asset Pricing I
34902, Asset Pricing II,Finance,34902 - Asset Pricing II
34903, Corporate Finance I,Finance,34903 - Corporate Finance I
34904, Corporate Finance II,Finance,34904 - Corporate Finance II
35000, Investments,Finance,35000 - Investments
35001, Introductory Finance,Finance,35001 - Introductory Finance
35100, Financial Instruments,Finance,35100 - Financial Instruments
35120, Portfolio Management,Finance,35120 - Portfolio Management
35130, Fixed Income Asset Pricing,Finance,35130 - Fixed Income Asset Pricing
35150, Advanced Investments,Finance,35150 - Advanced Investments
35200, Corporation Finance,Finance,35200 - Corporation Finance
35201, Cases in Financial Management,Finance,35201 - Cases in Financial Management
35210, International Corporate Finance,Finance,35210 - International Corporate Finance
